TOTAL_SECONDS,SNIPPETS,THROUGH_PUT_ROWS,THROUGH_PUT_SIZE,Cluster
0,1,0,0,1
4,4,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,16,1
2,5,16,496,1
0,1,0,0,1
1,1,1,12,1
1,1,1,8,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,8,1
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,2,1,24,1
1,1,0,0,1
0,1,0,0,1
1,1,1,16,1
1,1,2857,57140,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,20,1
2,4,0,0,1
1,1,8,32,1
0,1,0,0,1
1,4,0,0,1
1,2,1,32,1
1,1,1,8,1
0,1,0,0,1
1,1,1,12,1
0,1,0,0,1
1,4,1,12,1
0,1,0,0,1
2,1,1,10,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,5,0,0,1
1,1,23,644,1
0,1,0,0,1
1,1,1,8,1
0,1,0,0,1
0,1,0,0,1
80,2,0,5,1
1,1,0,0,1
0,1,0,0,1
0,1,0,0,1
3,1,0,3,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
2,10,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
3,4,1174,227097,1
0,1,0,0,1
2,3,1,6,1
0,2,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,16,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,2,1,44,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
171,4,22596,9879626,5
12,1,0,7,1
0,1,0,0,1
1,3,1,12,1
2,2,0,0,1
1,1,1,12,1
2,1,1,8,1
1,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,7006,1022660,1
0,2,0,0,1
14,7,448,170299,1
1,2,1,24,1
0,1,0,0,1
0,1,0,0,1
1,1,1,12,1
1,1,1,12,1
0,1,0,0,1
1,1,1,88,1
0,1,0,0,1
1,1,1722,34440,1
2,1,0,0,1
2,1,1292,25840,1
0,1,0,0,1
1,1,1,8,1
1,1,1,8,1
5,2,0,5,1
0,1,0,0,1
1,1,58,916,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,8,1
137,2,0,0,1
5,7,0,0,1
0,1,0,0,1
31,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
111,20,0,0,1
1,2,1,24,1
31,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
5,9,22194,2299131,1
22,2,0,1,1
0,2,0,0,1
1,1,1,12,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
39,1,13887,9410555,5
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,8,1
0,1,0,0,1
0,1,0,0,1
4,1,0,22,1
1,1,1,8,1
0,1,0,0,1
9,7,17,945,1
0,1,0,0,1
1,1,1,8,1
1,1,1,88,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
2,1,0,0,1
1,1,319097,15316656,3
1,1,3581,71620,1
2,1,1,8,1
3,2,0,8,1
0,1,0,0,1
7,1,188,3766,1
0,1,0,0,1
1,1,2178,43560,1
4,1,0,2,1
3,2,0,8,1
0,1,0,0,1
2,1,1,44,1
0,2,0,0,1
1,2,1,24,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
0,2,0,0,1
1,1,1,16,1
1,1,1,12,1
0,1,0,0,1
0,2,0,0,1
1,1,1,8,1
0,1,0,0,1
0,2,0,0,1
8,7,14905,21924107,3
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
4,12,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
37,2,0,1,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
5,4,0,2,1
0,1,0,0,1
1,1,1,8,1
0,2,0,0,1
0,1,0,0,1
2,1,1,4,1
2,1,1,12,1
0,1,0,0,1
1,1,3759,75180,1
3,1,0,5,1
0,1,0,0,1
0,2,0,0,1
1,1,0,0,1
0,2,0,0,1
0,1,0,0,1
1,1,1,20,1
0,1,0,0,1
12,2,0,2,1
0,1,0,0,1
1,1,1,88,1
0,1,0,0,1
1,1,1,8,1
0,1,0,0,1
1,1,7006,1022660,1
1,1,1,16,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
3,4,0,0,1
1,2,1,24,1
0,1,0,0,1
0,1,0,0,1
1,1,1,8,1
0,1,0,0,1
0,2,0,0,1
1,1,1,88,1
1,1,1,12,1
0,1,0,0,1
0,1,0,0,1
1,1,948,18960,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
5,2,0,2,1
0,2,0,0,1
0,2,0,0,1
6,9,18746,1943237,1
0,1,0,0,1
0,1,0,0,1
1,1,1,8,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,88,1
2,2,1,12,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
1,1,1,12,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,88,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
1,2,1,24,1
1,1,3809,76180,1
0,1,0,0,1
1,1,1,16,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,8,1
1,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
2,1,4901,1793552,1
2,1,1,14,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,28,1
1,1,1,12,1
1,1,1,20,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,5,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
2,4,1,6,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
2,5,0,0,1
0,1,0,0,1
1,1,1,88,1
1,1,3644,72880,1
0,1,0,0,1
0,1,0,0,1
6,2,0,4,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,3,0,0,1
0,1,0,0,1
0,1,0,0,1
0,3,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
